TOWNSHIP_RANGE,YEAR,lower,mid,upper
T01N R02E,2021,30.939999,78.3375,107.21029
T01N R03E,2021,11.724999,27.5275,270.0
T01N R04E,2021,7.8314285,13.159166,23.0665
T01N R05E,2021,7.8314285,13.159166,23.0665
T01N R06E,2021,22.872812,40.025,159.07393
T01N R07E,2021,38.82625,42.494923,172.56105
T01N R08E,2021,87.60267,132.97858,223.01248
T01N R09E,2021,90.56409,129.84071,224.26997
T01N R10E,2021,157.50049,184.2435,316.73776
T01N R11E,2021,58.0,125.918335,242.33685
T01S R02E,2021,20.5,27.805,55.699997
T01S R03E,2021,13.2925,20.2,39.924995
T01S R04E,2021,10.821071,17.775,25.816664
T01S R05E,2021,7.8314285,18.206667,39.391663
T01S R06E,2021,12.16,26.64,85.20832
T01S R07E,2021,17.1,36.485046,42.221664
T01S R08E,2021,34.9125,63.637474,118.225
T01S R09E,2021,92.55556,104.32218,129.93542
T01S R10E,2021,96.23119,106.0,133.98083
T01S R11E,2021,99.167816,114.69,148.79584
T01S R12E,2021,71.225,99.31722,119.842415
T02N R01E,2021,27.236248,57.074997,60.95
T02N R02E,2021,37.007084,39.758667,63.043255
T02N R03E,2021,11.724999,26.831501,36.476536
T02N R04E,2021,6.6528573,7.705278,19.758333
T02N R05E,2021,7.948393,16.3895,33.30833
T02N R06E,2021,39.17066,51.87458,76.04869
T02N R07E,2021,68.87333,89.33683,120.99149
T02N R08E,2021,152.26428,232.03333,328.8
T02N R09E,2021,142.85953,246.8,306.6009
T02N R10E,2021,187.93541,222.86633,300.37875
T02N R11E,2021,82.55,93.21026,232.82477
T02S R03E,2021,6.488,10.43125,19.485909
T02S R04E,2021,57.35,87.3441,115.792206
T02S R05E,2021,37.97156,76.88,135.16399
T02S R06E,2021,8.133,23.747501,33.887856
T02S R07E,2021,11.724999,23.948,38.480995
T02S R08E,2021,35.453846,49.426666,69.39444
T02S R09E,2021,57.41469,71.17196,119.196655
T02S R10E,2021,90.92953,106.9825,152.64133
T02S R11E,2021,106.791855,143.83563,178.49042
T02S R12E,2021,65.725,92.72092,113.23028
T02S R13E,2021,97.66428,129.57562,260.68
T03N R03E,2021,2.756,10.39275,270.0
T03N R04E,2021,5.706333,14.787727,20.836899
T03N R05E,2021,10.697954,17.289333,21.30065
T03N R06E,2021,37.271873,46.847,70.54861
T03N R07E,2021,88.89761,111.986115,282.18344
T03N R08E,2021,139.82025,222.96155,313.80624
T03N R09E,2021,149.25366,246.8,298.8125
T03N R10E,2021,168.58208,229.67215,281.0224
T03S R04E,2021,116.325,140.24625,303.50333
T03S R05E,2021,114.352776,136.64879,169.8482
T03S R06E,2021,58.824318,71.064026,76.43938
T03S R07E,2021,13.7,21.146633,32.0
T03S R08E,2021,13.942499,28.079624,34.587143
T03S R09E,2021,45.21386,58.070385,67.3244
T03S R10E,2021,68.142456,82.769844,103.640625
T03S R11E,2021,87.38416,123.10882,147.93558
T03S R12E,2021,122.85458,154.29622,215.8923
T03S R13E,2021,101.55448,129.28575,312.13776
T03S R14E,2021,101.55448,120.970184,273.88608
T04N R04E,2021,5.316,7.1564283,16.59333
T04N R05E,2021,6.6624284,20.79891,32.549316
T04N R06E,2021,28.6375,60.359276,70.27929
T04N R07E,2021,84.90446,133.85379,160.80853
T04N R08E,2021,93.5625,163.19583,195.34937
T04N R09E,2021,96.55602,124.04089,175.4761
T04N R10E,2021,103.73558,147.5719,199.13454
T04N R11E,2021,35.925,49.67094,108.25
T04S R05E,2021,104.074326,146.71667,175.57547
T04S R06E,2021,100.54444,165.93427,283.0
T04S R07E,2021,46.18375,66.32971,81.025
T04S R08E,2021,9.6175,26.117538,47.083324
T04S R09E,2021,25.9875,63.666668,216.08331
T04S R10E,2021,51.6125,64.38485,96.708336
T04S R11E,2021,122.651,167.15417,185.39273
T04S R12E,2021,117.50507,198.18011,246.6547
T04S R13E,2021,116.334335,174.94135,283.0
T04S R14E,2021,119.1,146.31859,211.24165
T04S R15E,2021,105.4,174.63689,354.74994
T05N R04E,2021,7.66,12.575,270.0
T05N R05E,2021,8.367001,20.85,270.0
T05N R06E,2021,43.14875,63.9825,129.48549
T05N R07E,2021,80.5,122.64909,208.00851
T05N R08E,2021,100.54444,122.40167,181.20949
T05N R09E,2021,37.716248,61.855988,134.25
T05N R10E,2021,9.89625,17.266666,41.999996
T05S R06E,2021,54.045,140.49167,213.56665
T05S R07E,2021,68.1875,105.629524,278.0
T05S R08E,2021,39.57,42.12192,62.275593
T05S R09E,2021,12.036759,17.6875,71.433304
T05S R10E,2021,17.1,36.485046,49.347614
T05S R11E,2021,128.8042,230.42264,328.8
T05S R12E,2021,148.25293,246.8,285.52954
T05S R13E,2021,144.19937,246.8,259.4164
T05S R14E,2021,125.762085,229.80566,254.9164
T05S R15E,2021,88.11785,145.85107,333.3333
T06N R06E,2021,66.21111,110.47472,242.33685
T06N R07E,2021,126.48416,198.86209,328.8
T06N R08E,2021,61.35,123.802,149.85847
T06N R09E,2021,7.9514284,21.254545,40.853367
T06N R10E,2021,6.560714,16.644047,40.853367
T06S R07E,2021,130.95827,267.41068,328.8
T06S R08E,2021,66.35766,91.03874,117.61812
T06S R09E,2021,12.457999,21.54815,41.53789
T06S R10E,2021,11.835,12.997658,33.30833
T06S R11E,2021,60.81665,86.31493,122.343994
T06S R12E,2021,96.403885,132.27022,149.52974
T06S R13E,2021,96.403885,109.7375,140.36313
T06S R14E,2021,96.077774,130.56595,143.83055
T06S R15E,2021,106.86278,117.159386,145.925
T06S R16E,2021,85.77,115.47692,128.26062
T07N R06E,2021,81.99917,131.00253,173.62898
T07N R07E,2021,101.55333,140.87454,217.26666
T07N R08E,2021,109.04491,129.40375,151.13515
T07N R09E,2021,12.959272,19.385,30.60075
T07S R07E,2021,70.69259,118.03682,206.86232
T07S R08E,2021,42.308613,58.694324,74.239975
T07S R09E,2021,13.942499,23.764168,38.536663
T07S R10E,2021,10.818334,16.585,270.0
T07S R11E,2021,24.247292,44.80504,70.41503
T07S R12E,2021,57.155186,60.953484,71.468575
T07S R13E,2021,79.106186,86.848045,97.4299
T07S R14E,2021,60.945026,95.851456,266.47687
T07S R15E,2021,67.12778,83.56561,105.53124
T07S R16E,2021,175.35933,197.73541,294.00726
T08N R08E,2021,42.725,83.78889,135.27481
T08S R07E,2021,23.766666,35.556,41.510002
T08S R08E,2021,26.723999,40.39167,63.666668
T08S R09E,2021,19.15,34.548332,53.289032
T08S R10E,2021,11.724999,26.0515,39.38437
T08S R11E,2021,16.687618,25.671501,33.992855
T08S R12E,2021,39.68966,55.004814,70.95555
T08S R13E,2021,51.076138,71.65833,88.61429
T08S R14E,2021,98.35833,133.19344,158.37103
T08S R15E,2021,154.575,179.12427,201.62682
T08S R16E,2021,214.30046,257.2652,339.12854
T08S R17E,2021,221.8431,265.11334,347.71497
T08S R18E,2021,181.4396,202.21889,211.57637
T09S R08E,2021,33.121,58.345,89.84287
T09S R09E,2021,24.808332,39.129166,270.0
T09S R10E,2021,7.4,29.455652,270.0
T09S R11E,2021,7.1564283,18.544445,270.0
T09S R12E,2021,9.243929,26.768433,270.0
T09S R13E,2021,70.225,86.8507,108.884415
T09S R14E,2021,114.03384,142.48392,177.60814
T09S R15E,2021,117.50507,197.22986,239.80469
T09S R16E,2021,199.73,321.46124,349.03333
T09S R17E,2021,173.82611,214.23643,278.5
T09S R18E,2021,214.02975,266.76382,291.84
T10N R18W,2021,111.71667,224.4524,283.0
T10N R19W,2021,154.80997,314.2846,414.9833
T10N R20W,2021,198.4,477.35,532.2044
T10N R21W,2021,295.81,424.85208,455.13333
T10N R22W,2021,384.9875,406.25,447.9
T10N R23W,2021,29.890001,121.59,264.5
T10S R08E,2021,39.42148,66.7769,95.29264
T10S R09E,2021,31.981346,44.92958,270.0
T10S R10E,2021,55.6325,81.311806,107.21029
T10S R11E,2021,7.66,13.026667,270.0
T10S R12E,2021,3.783,7.152273,17.688559
T10S R13E,2021,8.367001,24.485556,270.0
T10S R14E,2021,75.22625,120.31778,169.8375
T10S R15E,2021,118.46626,231.19049,283.0
T10S R16E,2021,71.6625,201.00615,265.00626
T10S R17E,2021,88.409996,201.00615,265.00626
T10S R18E,2021,71.6625,194.3823,265.00626
T10S R19E,2021,185.09,300.8875,446.4475
T10S R20E,2021,185.09,238.03168,293.17996
T10S R21E,2021,156.45624,260.9773,318.14996
T11N R17W,2021,157.98499,418.25,455.13333
T11N R18W,2021,396.84418,439.30835,535.8
T11N R19W,2021,395.252,521.11664,560.675
T11N R20W,2021,399.68332,420.94446,429.0
T11N R21W,2021,150.19556,252.70001,319.9583
T11N R22W,2021,217.66374,321.76666,504.57498
T11N R23W,2021,78.833336,176.22406,434.5
T11N R24W,2021,55.135,121.65,170.31992
T11S R09E,2021,92.16944,120.55,337.86667
T11S R10E,2021,48.796665,55.600243,97.63331
T11S R11E,2021,87.16965,111.06845,207.01747
T11S R12E,2021,42.177498,63.1,140.42715
T11S R13E,2021,7.66,11.639412,20.134167
T11S R14E,2021,38.088947,41.916,54.610725
T11S R15E,2021,148.14508,182.4425,206.00917
T11S R16E,2021,188.20932,221.23422,265.59857
T11S R17E,2021,140.66359,212.08304,229.443
T11S R18E,2021,161.55,220.01636,279.49307
T11S R19E,2021,216.00656,256.53912,556.2
T11S R20E,2021,173.85625,238.10204,556.2
T11S R21E,2021,141.77649,185.48824,210.27545
T11S R22E,2021,10.94,28.718334,32.435658
T11S R23E,2021,12.489783,32.478462,39.299034
T12N R17W,2021,226.61374,347.3925,442.39264
T12N R18W,2021,253.52777,356.01233,402.81677
T12N R19W,2021,128.23334,330.1956,390.16428
T12N R20W,2021,176.59273,261.86667,534.3762
T12N R21W,2021,199.305,257.0358,556.2
T12N R22W,2021,220.16916,256.53912,556.2
T12N R23W,2021,185.86781,204.05774,252.36
T12N R24W,2021,121.345245,155.29288,162.11777
T12S R09E,2021,122.189995,181.2634,287.9733
T12S R10E,2021,96.077774,113.98909,181.35399
T12S R11E,2021,118.439995,173.9048,283.0
T12S R12E,2021,81.34534,127.558754,337.86667
T12S R13E,2021,18.009214,41.594444,63.666668
T12S R14E,2021,32.456924,42.04286,63.666668
T12S R15E,2021,99.321976,124.72737,267.1623
T12S R16E,2021,131.99791,190.23055,225.25807
T12S R17E,2021,145.04068,156.02985,272.74017
T12S R18E,2021,152.00475,175.7024,323.955
T12S R19E,2021,175.15274,204.43481,211.09418
T12S R20E,2021,147.36967,208.54874,212.53903
T12S R21E,2021,59.41964,95.30119,101.34256
T12S R22E,2021,42.316433,54.243515,73.79884
T12S R23E,2021,18.845,39.567085,270.0
T13S R10E,2021,48.033333,69.22898,146.521
T13S R11E,2021,129.3,197.15332,273.7143
T13S R12E,2021,99.69142,114.03,211.24165
T13S R13E,2021,146.26166,238.64,283.0
T13S R14E,2021,64.3,76.683624,183.31166
T13S R15E,2021,69.182434,91.04762,183.31166
T13S R16E,2021,99.69142,110.14,211.24165
T13S R17E,2021,100.81852,121.96842,141.53369
T13S R18E,2021,51.92979,80.26964,98.82946
T13S R19E,2021,62.761112,110.08125,257.17
T13S R20E,2021,113.59167,129.13214,216.36998
T13S R21E,2021,63.3825,80.870636,98.245445
T13S R22E,2021,38.0825,52.455666,96.51426
T13S R23E,2021,11.835,15.1483345,270.0
T13S R24E,2021,11.835,14.833334,35.991493
T14S R10E,2021,112.035,255.1775,274.74286
T14S R11E,2021,216.15309,300.5442,402.47253
T14S R12E,2021,204.67667,301.28333,406.10132
T14S R13E,2021,202.67642,261.71667,382.73206
T14S R14E,2021,105.475494,180.75357,283.0
T14S R15E,2021,91.98889,128.4372,216.36998
T14S R16E,2021,78.375,99.31167,173.85103
T14S R17E,2021,102.36019,131.70752,173.62898
T14S R18E,2021,80.5,152.9828,245.2
T14S R19E,2021,90.03333,167.41782,245.2
T14S R20E,2021,58.625,97.635124,208.00851
T14S R21E,2021,36.917892,68.23082,104.47389
T14S R22E,2021,38.932186,52.553726,270.0
T14S R23E,2021,25.256546,36.418736,57.961903
T14S R24E,2021,13.813214,40.338974,270.0
T14S R25E,2021,15.911388,19.7,40.47431
T15S R10E,2021,342.415,470.5,535.63275
T15S R11E,2021,136.83333,224.35,554.264
T15S R12E,2021,136.83333,224.35,554.264
T15S R13E,2021,186.59999,322.4195,544.1
T15S R14E,2021,233.15,327.9,628.9
T15S R15E,2021,59.1,78.76409,125.366066
T15S R16E,2021,77.7423,107.368095,145.85107
T15S R17E,2021,55.135,163.08,234.91922
T15S R18E,2021,55.135,163.80743,226.01476
T15S R19E,2021,88.392494,141.2688,177.37308
T15S R20E,2021,58.55,112.80903,145.85107
T15S R21E,2021,55.974037,78.78166,140.42715
T15S R22E,2021,19.07,61.877777,163.58331
T15S R23E,2021,44.177498,51.9625,195.08415
T15S R24E,2021,43.044914,53.186874,77.6
T15S R25E,2021,28.505,45.26838,60.733334
T16S R12E,2021,196.03749,413.5,656.06665
T16S R13E,2021,444.43332,472.78333,552.05
T16S R14E,2021,240.24042,411.6667,459.125
T16S R15E,2021,147.84999,298.945,440.055
T16S R16E,2021,86.58417,157.50888,258.16827
T16S R17E,2021,184.71562,214.68929,308.46286
T16S R18E,2021,197.01604,223.75809,277.20706
T16S R19E,2021,182.94562,221.31529,308.46286
T16S R20E,2021,127.1225,172.46414,207.87375
T16S R21E,2021,77.40417,106.47044,242.33685
T16S R22E,2021,56.771942,120.60515,192.83333
T16S R23E,2021,55.3625,91.60962,195.08415
T16S R24E,2021,57.35,95.76875,169.09747
T16S R25E,2021,48.81875,59.146065,195.08415
T16S R26E,2021,27.377499,45.410538,97.025826
T17S R14E,2021,94.15,340.28625,510.99997
T17S R15E,2021,95.9,296.73,455.95868
T17S R16E,2021,160.1875,219.24646,269.56
T17S R17E,2021,145.56792,192.108,278.0
T17S R18E,2021,126.129845,204.64676,232.99771
T17S R19E,2021,128.26038,194.70978,268.9634
T17S R20E,2021,143.2591,152.93182,291.44543
T17S R21E,2021,94.43929,102.76621,164.05898
T17S R22E,2021,62.728207,81.560715,107.78229
T17S R23E,2021,63.991,83.39259,120.613365
T17S R24E,2021,79.260414,97.130875,116.65536
T17S R25E,2021,73.299995,98.19133,120.624565
T17S R26E,2021,36.534573,41.418667,55.943607
T17S R27E,2021,20.573507,34.519737,43.130024
T18S R14E,2021,283.8333,414.96,502.74997
T18S R15E,2021,290.13077,404.79285,489.6833
T18S R16E,2021,206.53354,269.76147,354.76666
T18S R17E,2021,176.07803,203.45256,246.66121
T18S R18E,2021,169.66249,212.61002,239.96216
T18S R19E,2021,151.3196,171.65488,196.71783
T18S R20E,2021,104.074326,128.6191,152.90306
T18S R21E,2021,69.13706,114.27923,133.54552
T18S R22E,2021,106.46166,125.275,144.895
T18S R23E,2021,93.369995,130.04001,145.123
T18S R24E,2021,112.049995,128.26508,216.36998
T18S R25E,2021,71.844444,114.94666,185.94228
T18S R26E,2021,56.793835,66.31,75.0037
T18S R27E,2021,28.066227,40.130623,270.0
T19S R15E,2021,178.125,405.595,498.34998
T19S R16E,2021,118.611664,336.14502,406.75262
T19S R17E,2021,212.90666,240.00615,303.39996
T19S R18E,2021,167.21562,273.7143,275.0
T19S R19E,2021,194.79231,273.7143,275.0
T19S R20E,2021,155.28333,201.12677,273.7143
T19S R21E,2021,85.47175,237.99715,283.0
T19S R22E,2021,102.08611,138.25769,283.0
T19S R23E,2021,90.17301,132.39807,177.10121
T19S R24E,2021,122.651,237.99715,283.0
T19S R25E,2021,90.87282,122.80268,271.05
T19S R26E,2021,87.86111,136.89941,230.32341
T19S R27E,2021,69.182434,78.39,114.70216
